0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:07 +0900] "GET /clientweb/css/css_basic_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:07 +0900] "GET /clientweb/css/clientweb/images/view.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:20:31 +0900] "GET /clientweb/css/css_basic_test2.html HTTP/1.1" 200 3800
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:21:26 +0900] "GET /clientweb/css/css_basic_test2.html HTTP/1.1" 200 3838
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:31:45 +0900] "GET /clientweb/css/css_basic_test.html HTTP/1.1" 200 4062
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:31:45 +0900] "GET /clientweb/common/css/mystyle.css HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:33:30 +0900] "GET /clientweb/css/css_basic_test2.html HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:33:30 +0900] "GET /clientweb/common/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:33:45 +0900] "GET /clientweb/css/css_basic_exam.html HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:33:45 +0900] "GET /clientweb/css/clientweb/images/view.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:33:45 +0900] "GET /clientweb/images/jang1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:36:32 +0900] "GET /clientweb/css/css_basic_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:36:32 +0900] "GET /clientweb/common/css/mystyle.css HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:36:35 +0900] "GET /clientweb/css/css_basic_test2.html HTTP/1.1" 200 3984
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:36:43 +0900] "GET /clientweb/css/css_basic_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:36:43 +0900] "GET /clientweb/common/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:36:43 +0900] "GET /clientweb/css/clientweb/images/view.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:38:01 +0900] "GET /clientweb/css/css_basic_exam.html HTTP/1.1" 200 4333
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:38:01 +0900] "GET /clientweb/common/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:38:01 +0900] "GET /clientweb/css/clientweb/images/view.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:38:01 +0900] "GET /clientweb/css/css_basic_exam.html HTTP/1.1" 304 -
